id,northing,easting,town,label
SGGA 9215/06/2,380442.09,1156467.753,AFIAMAN,SGGA 9215/06/2
SGGA 9215/06/3,380223.797,1156318.442,AFIAMAN,SGGA 9215/06/3
SGE 33/65/6,380767.89,1200501.6,PANTANG JUNC.,SGE 33/65/6
SGE 33/65/11,376889.2,1190328.65,PANTANG JUNC.,SGE 33/65/11
SGE 33/65/12,375085.13,1191009.77,PANTANG JUNC.,SGE 33/65/12
GA 05/134/9,384915.34,1188030.2,ABOKOBI,GA 05/134/9
SGGA  7/89/106,351988.96,1218645.13,SPINTEX RD,SGGA  7/89/106
SGGA 22/93/018/18/10,348993.39,1229300.79,COMM. 18,SGGA 22/93/018/18/10
GA 018/18/11,348491.49,1230058.52,COMM. 18,GA 018/18/11
SGGA 831/95/1,353326.41,1226388.52,J/W AREA,SGGA 831/95/1
SGGA /09/257/12,313183.332,1123155.698,TUBA JUNC.,SGGA /09/257/12
SGGA /09/257/10,314052.383,1123531.97,TUBA JUNC.,SGGA /09/257/10
SGGA /09/257/11,313720.952,1123394.779,TUBA JUNC.,SGGA /09/257/11
SGGA /09/257/13,312659.475,1122930.546,TUBA JUNC.,SGGA /09/257/13
SGGA /09/257/3,317362.971,1124506.309,TUBA JUNC.,SGGA /09/257/3
SGGA  ACH. 11/01/GPS 1,342104.607,1180204.375,ACH. OVER HD.,SGGA  ACH. 11/01/GPS 1
SGGA 1/88/04/51/1,342047.88,1180215.94,ACH. OVER HD.,SGGA 1/88/04/51/1
SGGA 437/95/2,346505.184,1174490.78,HOTEL DE JOKK,SGGA 437/95/2
SGGA 437/95/3,346519.885,1174467.126,HOTEL DE JOKK,SGGA 437/95/3
SGGA 1/88/08/233/2A,337142.259,1157712.439,ABLEKUMA RD,SGGA 1/88/08/233/2A
SGGA 1/88/08/233/13,341428.176,1155349.556,ABLEKUMA RD,SGGA 1/88/08/233/13
08/233/14,341415.356,1155014.2,ABLEKUMA RD,08/233/14
SGGA 74/04/1,341452.99,1154946.43,ABLEKUMA RD,SGGA 74/04/1
SGGA 1/88/07/203A/8,356198.11,1164280.45,ASOFA,SGGA 1/88/07/203A/8
SGGA 1/88/07/203A/33,357433.95,1163989.5,ASOFA,SGGA 1/88/07/203A/33
SGGA 08/219/201,332391.77,1153013.92,ASOFA,SGGA 08/219/201
SGGA 08/219/245,329945.68,1154497.53,ASOFA,SGGA 08/219/245
SGGA 222/04/5,350578.94,1226448.739,KPOGAS SPINTEX,SGGA 222/04/5
SGGA 222/04/6,350348.63,1226388.77,KPOGAS SPINTEX,SGGA 222/04/6
SGGA 1/88/06/175/8,365393.84,1175582.44,KWABENYA,SGGA 1/88/06/175/8
SGGA 258/95/3,365960.7,1175660.6,KWABENYA,SGGA 258/95/3
SGGA 06/171/30,364254.91,1175777.01,ASHONGMAN,SGGA 06/171/30
SGGA 334/96/1,387284.613,1206503.986,FOSTER HOME JUNC,SGGA 334/96/1
SGGA 019/88/1,386980.711,1206413.628,FOSTER HOME JUNC,SGGA 019/88/1
SGGA 712/99/4,382631.36,1204364.55,ROCKSHELL FRAFRAHA,SGGA 712/99/4
SGGA 712/99/1,382207.86,1204175.05,ROCKSHELL FRAFRAHA,SGGA 712/99/1
SGGA 429/04/1,384246.34,1227600.66,KATAMANSO,SGGA 429/04/1
SGGA 429/04/4,384247.41,1224802.58,KATAMANSO,SGGA 429/04/4
GA 04/59/42,322746.6,1168773.5,DANSOMAN,GA 04/59/42
GA 08/221/56,324357.553,1154015.453,MAC'THY  HILL,GA 08/221/56
SGGA 841/97/1,393320.24,1146619.7,MEDIE,SGGA 841/97/1
SGGA 841/97/2,393409.25,1147098.26,MEDIE,SGGA 841/97/2
SGGA 841/97/3,393500.38,1147608.38,MEDIE,SGGA 841/97/3
GCS EP 9/33/12,443088.78,1231164.98,DODOWA,GCS EP 9/33/12
GCG EP12/48/12,386666.58,1300732.01,DODOWA,GCG EP12/48/12
SGGA 498/99/1,359801.24,1128642.07,ASHALAJA,SGGA 498/99/1
SGGA 498/99/2,360030.11,1128970.64,ASHALAJA,SGGA 498/99/2
SGGA 498/99/3,359878.62,1129095.68,ASHALAJA,SGGA 498/99/3
SGGA 498/99/4,359647.32,1128770.64,ASHALAJA,SGGA 498/99/4
SGGA 41/2000/1,402795.813,1263380.605,AFIENYA,SGGA 41/2000/1
SGGA 41/2000/3,402359.137,1263462.52,AFIENYA,SGGA 41/2000/3
SGGA 41/2000/4,402408.121,1263264.377,AFIENYA B4  BARRIER,SGGA 41/2000/4
SGGA 835/01/1,391761.08,1147690.38,NKUNTUNSE,SGGA 835/01/1
SGGA 835/01/2,391951.31,1147758.63,NKUNTUNSE,SGGA 835/01/2
SGGA 835/01/4,391960.12,1147664.89,NKUNTUNSE,SGGA 835/01/4
SGGA 7/91/96,372498.291,1159141.197,NKUNTUNSE,SGGA 7/91/96
SGGA 7/91/100,376659.304,1158862.397,NKUNTUNSE,SGGA 7/91/100
SGGA 689/96/61,328800.75,1210273.97,TRADE FAIR,SGGA 689/96/61
SGGA 689/96/62,328755.78,1210367.88,TRADE FAIR,SGGA 689/96/62
SGGA 9/92/CP2,318903.57,1132385.8,KASOA RD GBC,SGGA 9/92/CP2
SGGA 9/92/CP3,318222.19,1132197.49,KASOA RD GBC,SGGA 9/92/CP3
SGGA 29/92/57,420655.132,1485045.061,ADA,SGGA 29/92/57
SGGA 29/92/62,411765.192,1487203.058,ADA,SGGA 29/92/62
SGGA 29/92/52,429620.794,1482445.288,ADA,SGGA 29/92/52
SGGA 20/92/57,450206.777,1323195.108,ADA,SGGA 20/92/57
SGGA 101/03/28,386036.748,1258097.17,MICHEL CAMP,SGGA 101/03/28
SGGA 1428/05/10,385910.242,1258167.131,MICHEL CAMP,SGGA 1428/05/10
SGGA 10/262/72,320007.701,1139841.425,NEW BORTIANO,SGGA 10/262/72
SGGA 10/262/69,319560.055,1139817.423,NEW BORTIANO,SGGA 10/262/69
SGGA 10/262/25,319905.675,1143144.088,NEW BORTIANO,SGGA 10/262/25
SGGA 08/221/2A,326631.431,1159310.155,NEW BORTIANO,SGGA 08/221/2A
SGGA 07/194/54,342281.05,1156166.03,NEW BORTIANO,SGGA 07/194/54
SGGA 905/98/1,320545.89,1139624.88,GHICEL,SGGA 905/98/1
SGGA 905/98/2,320388.05,1139040.19,GHICEL,SGGA 905/98/2
SGGA 905/98/3,320402.98,1138950.02,GHICEL,SGGA 905/98/3
SGGA 905/98/4,320890.53,1138414.03,GHICEL,SGGA 905/98/4
SGGA 905/98/5,321641.99,1137597.22,GHICEL,SGGA 905/98/5
SGGA 905/98/6,322309.96,1138678.32,GHICEL,SGGA 905/98/6
SGGA 905/98/7,322483.32,1138976.04,GHICEL,SGGA 905/98/7
SGGA 09/260/49,318523.371,1143087.756,GHICEL,SGGA 09/260/49
SGGA 09/260/50,318451.426,1142779.251,GHICEL,SGGA 09/260/50
SGGA 05/124/20,362182.03,1197085.86,GHICEL,SGGA 05/124/20
GCS EP 10/28/46,386855.53,1270417.29,DAWHENYA,GCS EP 10/28/46
GCS EP 10/28/47,385387.27,1273541.95,DAWHENYA,GCS EP 10/28/47
GCS EP 10/28/40,396985.17,1258386.13,DAWHENYA,GCS EP 10/28/40
GCS EP 7/52/65,386027.371,1271416.001,DAWHENYA,GCS EP 7/52/65
GCS EP 30/50/6,385624.03,1273193.12,DAWHENYA,GCS EP 30/50/6
SGGA 551/98/1,398770.732,1211104.62,DAWHENYA,SGGA 551/98/1
SGGA 551/98/2,398716.445,1211192.995,DAWHENYA,SGGA 551/98/2
SGGA 05/132/53,385655.587,1199935.19,DAWHENYA,SGGA 05/132/53
SGGA 05/132/28,386851.746,1199723.479,DAWHENYA,SGGA 05/132/28
SGGA 019/86/25,372246.729,1209675.793,DAWHENYA,SGGA 019/86/25
SGGA 019/86/128,374613.341,1209629.851,DAWHENYA,SGGA 019/86/128
SGGA 426/01/2,371109.699,1254788.27,DAWHENYA,SGGA 426/01/2
SGGA 426/01/3,371050.073,1254576.632,DAWHENYA,SGGA 426/01/3
SGC A195/08/1,313296.259,1107060.478,DAWHENYA,SGC A195/08/1
SGC A195/08/2,313481.224,1106942.045,DAWHENYA,SGC A195/08/2
SGE 4/79/66A,333586.45,1199807.729,EX Cantonment,SGE 4/79/66A
SGGA 9891/06/1,389179.464,1166284.301,ADUSA,SGGA 9891/06/1
SGGA 9891/06/10,388855.384,1166232.992,ADUSA,SGGA 9891/06/10
SGGA 267/01/1,450453.74,1239558.34,AYIKUMA,SGGA 267/01/1
SGGA 2841/05/18,450427.497,1239237.499,AYIKUMA,SGGA 2841/05/18
SGGA H784/09/1,378272.571,1152529.948,KWAANUM,SGGA H784/09/1
SGGA H784/09/2,377909.42,1152616.4,/AMASAMAN,SGGA H784/09/2
SGGA H784/09/19,379972.24,1151611.45,/AMASAMAN,SGGA H784/09/19
SGGA H784/09/20,379851.777,1151690.452,/AMASAMAN,SGGA H784/09/20
GA H784/09/15AA,380206.084,1151471.289,/AMASAMAN,GA H784/09/15AA
SGGA H784/09/18,380892.02,1151228.62,/AMASAMAN,SGGA H784/09/18
SGGA 6/90/41,417160.43,1257481.01,MOBOLE,SGGA 6/90/41
SGGA 6/90/43,417779.25,1256902.67,MOBOLE,SGGA 6/90/43
SGGA 05/122/33,363188.54,1200467.94,MADINA,SGGA 05/122/33
SGGA 05/122/34,362574.01,1200432.94,MADINA,SGGA 05/122/34
SGGA 05/122/23,365921.37,1201420.39,MADINA,SGGA 05/122/23
SGGA 05/125/114,367597.18,1200597.8,MADINA,SGGA 05/125/114
SGGA 06/166/18,361913.315,1188864.336,MADINA,SGGA 06/166/18
SGGA 06/166/24,361855.878,1187308.598,MADINA,SGGA 06/166/24
SGGA 1000/06/5,360700.57,1187779.08,MADINA,SGGA 1000/06/5
SGGA 1000/06/6,360698.928,1187721.448,MADINA,SGGA 1000/06/6
SGGA 08/CP1,475336.855,1282553.093,ASUTUARE JNC,SGGA 08/CP1
SGGA 08/CP2,475337.953,1282647.302,ASUTUARE JNC,SGGA 08/CP2
GCG EP 22/51/1,412806.637,1135656.259,NSAWAM,GCG EP 22/51/1
GCG EP 22/51/6,412874.327,1135751.777,NSAWAM,GCG EP 22/51/6
SGGA 1824/03/2,394134.91,1205156.005,Amrahia BO1,SGGA 1824/03/2
SGGA 1580/03/30,394052.82,1205397.627,Amrahia BO2,SGGA 1580/03/30
SGE 11/70/1,393894.64,1207639.81,Amrahia BO3,SGE 11/70/1
SGGA 11/01/GPS3,368614.181,1257675.224,TEMA,SGGA 11/01/GPS3
SGGA 7/91/640,350218.667,1160450.634,TEMA,SGGA 7/91/640
SGGA 7/91/724,347119.088,1159583.69,TEMA,SGGA 7/91/724
SGGA 7/91/31,375272.24,1173667.371,TEMA,SGGA 7/91/31
SGGA 7/91/94,370071.59,1160746.146,TEMA,SGGA 7/91/94
SGGA 7/91/25,369219.04,1173888.63,TEMA,SGGA 7/91/25
SGGA 7/91/45,373217.21,1165103.91,TEMA,SGGA 7/91/45
SGGA 7/91/602,367752.517,1160745.225,TEMA,SGGA 7/91/602
SGE 29/01/4,412750.107,1197258.114,PEDUASE LODG,SGE 29/01/4
SGE 29/01/7,436881.202,1205775.475,PEDUASE LODG,SGE 29/01/7
SGE 29/01/8,437307.582,1206110.166,PEDUASE LODG,SGE 29/01/8
SGE 5/61A/8,413106.85,1197096.85,PEDUASE LODG,SGE 5/61A/8
SGGA 5522/06/1,456556.053,1246766.201,AYIKUMA,SGGA 5522/06/1
SGGA 5522/06/2,456216.56,1246424.253,AYIKUMA,SGGA 5522/06/2
SGGA 5522/06/3,455990.549,1246216.135,AYIKUMA,SGGA 5522/06/3
SGGA E157/08/2,459374.458,1247033.975,AYIKUMA,SGGA E157/08/2
SGGA E157/08/3,459434.405,1247125.364,AYIKUMA,SGGA E157/08/3
SGGA J628/09/1,455758.019,1248304.377,AYIKUMA,SGGA J628/09/1
SGGA J628/09/2,455666.975,1248346.507,AYIKUMA,SGGA J628/09/2
SGC KCE1/1/2000/1,314514.48,1108474.16,KASOA,SGC KCE1/1/2000/1
SGC KCE1/1/2000/2,314285.18,1107562.62,KASOA,SGC KCE1/1/2000/2
SGC KCE1/1/2000/3,313824.69,1105896.53,KASOA,SGC KCE1/1/2000/3
SGC KCE1/1/2000/4,313231.13,1103524.17,KASOA,SGC KCE1/1/2000/4
SGC B991/08/1,313028.11,1108915.93,ASABAHAN,SGC B991/08/1
SGC B991/08/2,312894.48,1109028.68,ASABAHAN,SGC B991/08/2
SGGA 948/99/20B,363023.907,1207145.387,Ogbojo,SGGA 948/99/20B
SGGA 948/99/20C,363120.251,1207086.948,Ogbojo,SGGA 948/99/20C
SGC 12/96/C19,299119.333,1112246.225,NYANYANO RD,SGC 12/96/C19
SGC KCE 2/01/2,313104.62,1104244.94,KASOA,SGC KCE 2/01/2
SGC KCE 2/01/5,310300.17,1103957.64,KASOA,SGC KCE 2/01/5
SGC KCE 2/01/6,310110.29,1103631.22,KASOA,SGC KCE 2/01/6
SGGA 1241/02/1,441204.132,1276892.142,DORYUMU JNC,SGGA 1241/02/1
SGGA 1241/02/2,441027.386,1276826.605,DORYUMU JNC,SGGA 1241/02/2
SGGA 9979/06/1,445296.886,1270698.952,DORYUMU JNC,SGGA 9979/06/1
SGGA 9979/06/2,445339.849,1270612.279,DORYUMU JNC,SGGA 9979/06/2
SGGA 9979/06/3,445421.817,1270651.378,DORYUMU JNC,SGGA 9979/06/3
SGGA 9979/06/4,445379.595,1270738.266,DORYUMU JNC,SGGA 9979/06/4
SGGA 07/195/52,347779.812,1150573.469,ABLEKUMA,SGGA 07/195/52
SGGA 07/195/53,347852.026,1150466.584,ABLEKUMA,SGGA 07/195/53
SGGA 07/195/54,348159.749,1150609.24,ABLEKUMA,SGGA 07/195/54
SGGA 1428/05/19,406192.233,1259926.495,ABLEKUMA,SGGA 1428/05/19
SGGA 1428/05/20,406263.235,1260109.359,ABLEKUMA,SGGA 1428/05/20
SGGA 06/166/18,361913.315,1188864.336,ABLEKUMA,SGGA 06/166/18
SGGA 06/166/24,361855.878,1187308.598,ABLEKUMA,SGGA 06/166/24
SGGA 018/34/17A,349201.67,1242177.45,SAKUMONO,SGGA 018/34/17A
SGGA 018/34/18,347864.24,1241762.12,SAKUMONO,SGGA 018/34/18
SGGA 88/93/2,380847.8,1190021.95,ABOKOBI,SGGA 88/93/2
SGGA 88/93/3,380793.23,1189913.47,destroyed,SGGA 88/93/3
SGGA 11/01/GPS3,368617.62,1257674.575,TEMA R D. ABT.,SGGA 11/01/GPS3
SGGA 1428/05/19,406192.233,1259926.498,AFIENYA,SGGA 1428/05/19
SGGA 1428/05/20,406263.235,1260109.359,HACKMAN,SGGA 1428/05/20
SGE 1/68/24,345972.37,1155002.52,FAN MILK Ablekumah,SGE 1/68/24
SGE 1/68/25,347431.184,1155006.144,FAN MILK Ablekumah,SGE 1/68/25
SGGA 08/233/14,341415.356,1155014.201,FAN MILK Ablekumah,SGGA 08/233/14
SS 65,334147.32,1197049.14,Survey School 37,SS 65
SS 66,334151.61,1197056.15,Survey School 37,SS 66
SS 70,334673.41,1197266.374,Survey School 37,SS 70
SG SS 11/96/1,334302.06,1196989.03,Survey School 37,SG SS 11/96/1
SG SS 11/96/2,334815.1,1196979.8,Survey School 37,SG SS 11/96/2
SG SS 11/96/3,334370.96,1197201.54,Survey School 37,SG SS 11/96/3
ACRA COR GRN,334375.516,1197017.218,Survey School 37,ACRA COR GRN
SGGA F400/13/1,334623.576,1196849.135,Survey School 37,SGGA F400/13/1
SGGA F400/13/2,334586.653,1196881.989,Survey School 37,SGGA F400/13/2
SGGA F400/13/3,334363.299,1196933.201,Survey School 37,SGGA F400/13/3
SGGA 1/88/TP 1,334406.82,1196934.76,Survey School 37,SGGA 1/88/TP 1
SGGA 9/92/CP2,318903.57,1132385.8,KASOA G.B.C,SGGA 9/92/CP2
SGGA 9/92/CP3,318222.19,1132197.49,KASOA G.B.C,SGGA 9/92/CP3
GA 09/260/49,318523.371,1143087.756,KASOA G.B.C,GA 09/260/49
GA 09/260/50,318451.426,1142779.251,KASOA G.B.C,GA 09/260/50
GA 05/124/20,362182.03,1197085.86,KASOA G.B.C,GA 05/124/20
GCG EP 7/52/16,352356.66,1235500.53,KASOA G.B.C,GCG EP 7/52/16
GA 22/93/018/38/7,353628.338,1222864.119,SPINTEX COCA COLA RD. ABT.,GA 22/93/018/38/7
GA 162/99/2132W,422930.644,1484968.949,ADA CONTR.,GA 162/99/2132W
GA /019/75/17,359351.15,1215248.16,ADJIRIGANO,GA /019/75/17
GA /019/75/18,359787.49,1215404.93,ADJIRIGANO,GA /019/75/18
GA /019/75/19,360227.9,1215559.29,ADJIRIGANO,GA /019/75/19
GA /06/167/21A,368421.426,1192818.39,AGBOGBA GRACE FILL. ST.,GA /06/167/21A
GA /06/167/139,368887.802,1192299.584,AGBOGBA GRACE FILL. ST.,GA /06/167/139
GA /06/167/12,363940.32,1194169.801,AGBOGBA GRACE FILL. ST.,GA /06/167/12
GA 9384/07/2,430627.79,1274660.24,KPONG RD DOR.,GA 9384/07/2
GA 9384/07/1,430428.89,1274680.75,DISTURBED,GA 9384/07/1
GA R872/09/1,437063.204,1275844.021,"KPONG RD,",GA R872/09/1
GA R872/09/2,437404.361,1276014.712,"KPONG RD,",GA R872/09/2
GA R872/09/3,437033.418,1276483.787,QUARRIES JUNC,GA R872/09/3
GA R872/09/4,436700.921,1276267.935,Akushika,GA R872/09/4
SG N 16/60/2,2241939.72,267125.04,NANDOM,SG N 16/60/2
SG N 16/60/3,2242055.18,267029.33,NANDOM,SG N 16/60/3
SGW 3/03/306B1,278338.1,486341.21,PRESTIA,SGW 3/03/306B1
GCS WP 13/39/1A,278354.45,486082.12,PRESTIA ,GCS WP 13/39/1A
SGGA EX TD 19 1,358283.854,1260646.501,Tema SMD,SGGA EX TD 19 1
SGGA EX TD 19 2,358320.503,1260681.892,Tema SMD,SGGA EX TD 19 2
SGGA A0400 19 1,349990.456,1231445.473,Spintex Road,SGGA A0400 19 1
SGGA C2600 17 4,363758.812,1199747.92,Firestone Madina,SGGA C2600 17 4
SGGA C2600 17 6,364495.947,1199762.427,Firestone Madina,SGGA C2600 17 6
SGGA J799 14 3,374529.101,1155083.549,Amasaman,SGGA J799 14 3
SGGA J799 14 4,374572.073,1155030.434,Amasaman,SGGA J799 14 4
SGGA N884/11/1,371938.467,1255014.001,Ashaiman ,SGGA N884/11/1
SGGA N884/11/2,371940.098,1254810.983,Ashaiman ,SGGA N884/11/2
SGGA N884/11/3,372174.85,1254255.316,Ashaiman ,SGGA N884/11/3
SGGA N884/11/4,371877.455,1254208.674,Ashaiman ,SGGA N884/11/4
SGGA 018/63/1,368165.77,1258132.85,Tema ,SGGA 018/63/1
SGGA 018 /63/2,367526.72,1258391.47,Tema ,SGGA 018 /63/2
SGA CORS 2020 3,732285.93,673148.1,Kumasi,SGA CORS 2020 3
SGW Hl 13 1,83346.981,625994.246,Takoradi,SGW Hl 13 1
SG GRN 09 WA1,1957052.831,361326.72,Wa Upper West ,SG GRN 09 WA1
GPS/KUB/03/1,726464.66,764732.27,Kubease,GPS/KUB/03/1
SGA/KS7N/02/4,777827.636,706783.23,Tewobaabi,SGA/KS7N/02/4
SGA/1/80/5,732921.14,673881.75,Harper Road,SGA/1/80/5
SGA/30/7/06/1,729521.484,673888.124,Ridge,SGA/30/7/06/1
SGA/30/06/7,726093.529,675835.394,Dakwadwom,SGA/30/06/7
GCS/A58/51/1A,737632.23,676816.26,Manhyia,GCS/A58/51/1A
SGA/CP/MP1,739808.71,682004.63,Dichiemso,SGA/CP/MP1
GCG/CTS/11,745135.285,663168.615,Abrepo-Old Town,GCG/CTS/11
SGA/A170/11/1,741167.154,667497.692,Suame-Abrepo Road,SGA/A170/11/1
SG/K1/96/1,733233.34,698243.33,Asafo Roundabout-Oforikrom Police Station,SG/K1/96/1
SGA/13/07/12,733041.846,698205.77,Knust,SGA/13/07/12
TBM 17,723351.95,705553.929,Emena,TBM 17
SG/GPS2/06/13B,744759.347,729282.451,Ejisu,SG/GPS2/06/13B
SGA/A729/11/28,736712.099,751441.025,Boankra,SGA/A729/11/28
SGA/A893/11/1,720184.289,773892.609,Asempanaye,SGA/A893/11/1
SG/GPS1/06/6B,708607.55,821250.464,Konongo,SG/GPS1/06/6B
SGA/A183/11/1,770499.333,867587.988,Agogo,SGA/A183/11/1
SGA/A211/08/2,777838.88,745327.946,Juabeng,SGA/A211/08/2
A19/61/233A,722282.19,663862.42,Santasi,A19/61/233A
SGA/NK3,701788.581,660515.421,Kotwi,SGA/NK3
SG/A1/GPS/08/GAB2,652485.172,668282.272,Anwiankwanta,SG/A1/GPS/08/GAB2
SGA/4/06/24,649318.343,692793.733,Bekwai,SGA/4/06/24
SG/GPS2/06/12A,556195.987,653724.991,Obuasi,SG/GPS2/06/12A
SGA/PS/07/1,761759.682,665796.206,Kronun Aboahia,SGA/PS/07/1
SGA/1/99/2165CC,823405.462,655191.122,Offinso,SGA/1/99/2165CC
SG/A4/02/K17/4N,715652.705,693866.2,Sewuah Junction,SG/A4/02/K17/4N
SGA/54/PS1,688607.34,710588.52,Jjachie Pramso,SGA/54/PS1
GSS/BLK/F12,737256.73,656257.96,Asuyeboah,GSS/BLK/F12
SGA/3/07/03/92,737491.021,642375.731,Abuakwa,SGA/3/07/03/92
